name,age,location,occupation,political_leaning,support_level,impact_on_housing,impact_on_transport,impact_on_community,key_concerns,suggested_improvements,sentiment_score,key_themes
Carolyn,69,Bronte,Engineer,Greens,5,0,4,4,"Street congestion, adequate public transport options, access for emergency vehicles","Enhance public transport services and infrastructure, introduce residential parking permits, invest in bike lanes and pedestrian paths",0.1881542699724518,"['reducing reliance on cars', 'environmental sustainability', 'housing affordability', 'concerns about street congestion', 'sustainable transport promotion']"
Christopher,77,Bondi Junction,Engineer,Liberal,1,0,1,1,"Increased traffic congestion, parking scarcity, property devaluation, reduced liveability","Implement strict parking minimums, invest in public transport infrastructure, enforce developer accountability for traffic and parking solutions",0.06856060606060606,"['opposition to parking policy changes', 'impact on property value and congestion', 'concerns over local traffic flow']"
John,77,Dover Heights,Public servant,Liberal,1,0,1,1,"Increased parking difficulties, impact on local heritage and community character, potential for increased traffic congestion, disregard for the needs of older residents and car owners","Implement a gradual reduction in parking minimums with provisions for car share schemes, ensure any development under this policy includes adequate public transport improvements, enforce strict guidelines to protect local heritage and community character, introduce measures to support existing residents' parking needs",0.23333333333333334,"['impact on local community and heritage', 'increased urban density concerns', 'inadequate infrastructure', 'parking difficulties', 'overlooking needs of existing residents']"
Richard,35,Queens Park,Student,Liberal,5,0,5,4,"Increased street parking competition, potential for overcrowded public transport, need for enhanced public transport services","Increase public transport frequency, improve pedestrian and cycling infrastructure, introduce car share schemes, enforce strict guidelines on developers to contribute to local transport upgrades",0.1448953823953824,"['climate resilience', 'sustainability in urban planning', 'encouragement of public transport and walking', 'reduction of carbon footprint and local congestion', 'promotion of active lifestyles and community health']"
Kelly,32,Queens Park,HR manager,Labor,5,0,5,4,"Environmental sustainability, reduced green spaces, increased traffic congestion, lack of infrastructure for alternative transportation modes","Increase investment in public transport and cycling infrastructure, mandate the inclusion of green spaces in new developments, implement car share schemes for residents, ensure adequate parking for bicycles and electric vehicles",0.12087412587412587,"['sustainable urban environments', 'reducing car dependency', 'promoting public transport and active travel', 'environmental impact of cars', 'enhancing green spaces and cycleways']"
Donald,29,Bronte,Nurse,Socialist Alliance,5,0,4,5,"Housing affordability, environmental sustainability, developer accountability","Increase public transport options, mandate green spaces in new developments, provide incentives for developers to include affordable housing units",0.19015151515151515,"['affordable housing', 'environmental sustainability', 'reducing reliance on private vehicles', 'developer accountability', 'community-oriented urban development']"
Carol,69,Waverley,HR manager,Teal Independent,5,0,4,4,"Heritage protection, adequate public transport and biking infrastructure, potential increase in street parking congestion","Investment in public transport and cycling infrastructure, designated parking areas for residents, incentives for developers to include green spaces and community facilities",0.17363636363636364,"['community well-being', 'sustainable urban planning', 'heritage protection', 'affordable housing', 'alternative transport options']"
Donald,45,Waverley,Teacher,Teal Independent,5,0,4,4,"Accessibility for those dependent on cars, potential increase in on-street parking competition, ensuring public transport can handle increased demand","Enhance public transport services and accessibility, introduce car share schemes and bike parking, ensure developments contribute to community green spaces",0.08360881542699725,"['affordable housing', 'prioritizing living spaces over vehicle storage', 'robust public transport options', 'accessibility concerns', 'environmental and community benefits']"
Benjamin,68,Bondi Beach,Delivery driver,Liberal,5,0,4,4,"Traffic congestion, parking availability for existing residents, potential increase in car dependency if not managed with complementary transport solutions","Enhance cycleway networks, invest in public transport infrastructure, implement residential parking permits for existing residents, incentives for developments incorporating green spaces and community facilities",0.25138888888888894,"['sustainable urban development', 'green transport options', 'affordable housing', 'reducing parking minimums', 'community prioritization']"
John,71,Dover Heights,Public servant,Liberal,1,0,1,1,"Increased traffic congestion, reduced street safety, impact on property values, degradation of community heritage","Enhance public transport options, implement strict guidelines for developers to contribute to community infrastructure, introduce incentives for developments with green spaces or community facilities, ensure any changes are carried out with extensive community consultation and feedback.",0.08638528138528138,"['heritage protection', 'street safety and traffic concerns', 'opposition to reduced parking requirements', 'risk to community quality of life', 'potential property devaluation']"
Kara,33,Bondi Beach,Engineer,Teal Independent,5,0,4,4,"Increased traffic congestion, strain on public transportation, potential for noise increase","Enhance public transportation services and frequency, develop more green spaces and community hubs, implement noise control measures",0.11905594405594407,"['urban density', 'sustainable living', 'pedestrian-friendly environment', 'public transportation improvements', 'community spaces']"
Jessica,74,Waverley,Consultant,Teal Independent,5,0,4,4,"Street parking congestion, Sufficient public transport and bike lanes, Impact on property values","Increase public transport services and bike lane infrastructure, Implement residential parking zones, Introduce incentives for developers to include green spaces or community amenities in lieu of parking spaces",0.17696969696969697,"['housing affordability', 'environmental sustainability', 'reducing construction costs', 'concerns about street parking', 'investment in alternative transport options']"
Joseph,20,Queens Park,Tradie,Labor,5,0,4,4,"Housing affordability, Developer accountability, Public transport capacity","Increase investment in public transport and cycleways, Implement strict regulations to ensure savings are passed on to renters, Create community green spaces",0.09220779220779221,"['housing affordability', 'public transit reliance', 'reducing parking requirements', 'prioritizing people over cars', 'ensuring benefits for residents not just developers']"
Jessica,58,Bronte,Hospitality worker,Liberal,1,0,1,1,"Increased traffic, parking congestion, impact on property values, lack of infrastructure to support increased density, potential decline in community standards","Implement strict regulations on developments to contribute to local infrastructure, mandatory provision of car-sharing options or dedicated parking solutions off-site, investment in public transport enhancements, introduction of community consultation processes for development planning",0.15185185185185182,"['opposition to policy', 'traffic and parking concerns', 'impact on quality of life', 'potential increase in congestion', 'favoring development over community well-being']"
Justin,45,Bronte,Nurse,Labor,1,0,1,1,"increased traffic congestion, reduced parking availability, impact on emergency services accessibility, potential decrease in quality of life for car-dependent residents","require a minimum number of parking spaces based on apartment size, increase investment in public transport and cycleways, implement residential parking permits for existing residents",0.06704545454545455,"['parking space concerns', 'impact on daily commute', 'urban density', 'cycleway support', 'accessibility of community']"
Tara,80,Randwick,HR manager,Liberal,1,0,1,1,"Overdevelopment, Loss of community character, Increased congestion, Safety and accessibility for seniors, Property devaluation","Implement strict development guidelines to preserve community character, Enhance public transport options to reduce car dependency, Introduce mandatory parking spaces for developments near heritage sites, Encourage developers to include affordable housing units without sacrificing parking spaces.",0.052772366522366526,"['local heritage preservation', 'overdevelopment concerns', 'congestion and parking issues', 'property value impact', 'safety and accessibility concerns']"
Brent,50,Waverley,Nurse,Socialist Alliance,5,0,4,5,"Increased traffic congestion, insufficient public transport capacity, pedestrian safety","Enhance public transport services and frequency, invest in pedestrian and cycling infrastructure, implement car share schemes, enforce strict development guidelines to ensure adequate green and communal spaces",0.15974025974025974,"['urban density', 'street safety', 'environmental benefits', 'housing affordability', 'community well-being']"
Tony,32,Tamarama,Consultant,Liberal,1,0,1,1,"Increased parking pressure, Insufficient public transport options, Impact on local traffic congestion, Reduced accessibility for car-dependent residents","Implement a resident parking permit system, Increase investment in public transport and infrastructure before removing parking requirements, Mandate a minimum number of bike parking and electric vehicle charging spots for new developments",0.09577922077922077,"['parking concerns in Bondi', 'impact on residents', 'need for alternative transport planning', 'community impact of development', 'dependency on cars for mobility']"
Mark,23,Queens Park,Artist,Teal Independent,5,0,4,5,"Environmental sustainability, Housing affordability, Reduced reliance on cars, Community accessibility","Increase investment in public transport and cycleways, Implement car share schemes, Encourage developments to include green spaces and community art projects",0.21177156177156176,"['sustainable living', 'environmental health', 'housing affordability', 'public transport and cycling promotion', 'community needs prioritization']"
Jackson,29,Dover Heights,Delivery driver,Liberal,1,0,1,1,"Increased congestion, Reduced accessibility for vehicle-dependent jobs, Parking availability for existing residents, Potential devaluation of properties with existing parking","Implement a flexible parking policy that considers the needs of both residents and local businesses, Enhance public transport options to reduce car dependency, Reserve parking spaces for delivery and service vehicles in new developments, Conduct a thorough traffic and parking study before implementation",0.07938311688311687,"[""non-binary individual's perspective"", 'parking policy opposition', 'impact on delivery drivers', 'community accessibility concerns', 'congestion and employment challenges']"
Garrett,74,Bondi Beach,Public servant,Liberal,1,0,1,1,"Increased street parking congestion, Decreased property values, Reduced accessibility for residents with cars, Potential for overcrowding","Implement a hybrid approach that reduces but doesn't eliminate parking requirements, Increase investment in public transportation options, Introduce community parking solutions, Enforce strict developer accountability measures",0.15446969696969698,"['opposition to policy changes', 'parking congestion concerns', 'impact on property values', 'challenges for residents and visitors']"
Kyle,27,Bondi Beach,Designer,Greens,2,0,2,2,"Increased parking congestion, strain on local infrastructure, displacement of car-dependent residents","Implement a hybrid approach with reduced but not eliminated parking requirements, increase investment in public transport and bike paths, introduce resident parking permits",0.11904761904761905,"['affordable housing', 'environmental benefits of reducing car dependency', 'exacerbation of parking issues', 'pressure on local infrastructure', 'livability for vehicle-dependent residents']"
Scott,84,Dover Heights,Nurse,Liberal,1,0,1,1,"Increased street congestion, reduced quality of life, impact on existing residents' parking, potential decrease in property values","Implement a cap on the reduction of parking spaces rather than a complete removal, invest in improving public transport infrastructure to truly reduce the need for cars, enforce strict noise control measures, ensure new developments include green spaces",0.04037962037962039,"['urban density and housing affordability', 'impact on local community and infrastructure', 'concerns about reduced parking spaces', 'importance of considering broader impacts on transport and urban tranquility', 'skepticism towards government policy']"
Nathan,46,Bondi Beach,Retail assistant,Labor,2,0,2,2,"increased street parking pressure, traffic congestion, reduced accessibility for car-dependent residents","mandate a minimum number of bike spaces and car share spots in new developments, improve public transport services to reduce car dependency, enforce strict parking management policies to ensure streets don't become clogged with residents' cars",-0.041666666666666664,"['urban housing pressure', 'environmental concerns', 'parking scarcity in Bondi', 'reliance on cars for commuting', 'potential for increased local traffic and parking chaos']"
